"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"112";"BOISSON D'AMANDE SANS SUCRE (1L) BIO POUR TOUS";"Epicerie sec";"N/A";"2.12000";"Relais Vert";"";"2.91000";"0.05500";"3760295170235";"";"2.46000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"BOISSON AMANDE SANS SUCRE"
"113";"BOISSON D'AVOINE (1L) BIO POUR TOUS";"Epicerie sec";"N/A";"1.08000";"Relais Vert";"";"1.48000";"0.05500";"3760295170259";"";"1.26000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"BOISSON D'AVOINE"
"114";"BOISSON RIZ NATURE (1L) BIO POUR TOUS";"Epicerie sec";"N/A";"1.32000";"Relais Vert";"";"1.81000";"0.05500";"3760295170013";"";"1.53000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"BOISSON RIZ NATURE"
"115";"BOUILLON DE LEGUME CUBES (66G) PHILIA";"Epicerie sec";"N/A";"0.99000";"Relais Vert";"";"1.36000";"0.05500";"3520832230064";"";"1.15000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"66.00";"BOUILLON DE LEGUME CUBES"
"116";"BOUILLON DE POULE CUBES (66G) PHILIA";"Epicerie sec";"N/A";"1.11000";"Relais Vert";"";"1.52000";"0.05500";"3520832230088";"";"1.29000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"66.00";"BOUILLON DE POULE CUBES"
"117";"CACAO MAIGRE EN POUDRE 10-12% (250G) KAOKA";"Epicerie sec";"N/A";"3.20000";"Relais Vert";"";"4.39000";"0.05500";"3477730009011";"";"3.71000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"250.00";"CACAO EN POUDRE 10-12%"
"119";"CHICOREE INSTANT SOLUBLE (100G) LIMA";"Epicerie sec";"N/A";"3.00000";"Relais Vert";"";"4.11000";"0.05500";"5411788047166";"";"3.48000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"100.00";"CHICOREE INSTANT SOLUBLE"
"120";"CHIPS SALEES (125G) TRA' FO";"Epicerie sec";"N/A";"1.67000";"Relais Vert";"";"2.29000";"0.05500";"8718754502030";"";"1.94000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"125.00";"CHIPS SALEES"
"121";"CHIPS SEL ET VINAIGRE (125G) TRA' FO";"Epicerie sec";"N/A";"1.63000";"Relais Vert";"";"2.24000";"0.05500";"8718754502115";"";"1.89000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"125.00";"CHIPS SEL ET VINAIGRE"
"122";"PASSATA (680G) PHILIA";"Epicerie sec";"N/A";"1.31000";"Relais Vert";"";"1.80000";"0.05500";"3520832130401";"";"1.52000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"680.00";"PASSATA"
